awaked_VERB	1769	1836	9390	0.19552715654952077	1079	5119	0.210783356124243
awaked_VERB	1799	8281	69710	0.11879213886099556	4990	31134	0.16027494057943084
awaked_VERB	1829	11127	218491	0.05092658278830707	7658	84586	0.09053507672664507
awaked_VERB	1859	10848	270175	0.04015175349310632	7385	115505	0.06393662612008139
awaked_VERB	1889	14558	443245	0.03284413811774527	10123	199248	0.05080603067533927
awaked_VERB	1919	7058	298883	0.023614591662958415	4749	146037	0.03251915610427494
awaked_VERB	1949	8386	488989	0.017149670033477237	5845	254605	0.022957129671451856
awaked_VERB	1979	21063	1679103	0.012544197705560648	14303	786150	0.018193728932137634
blowed_VERB	1769	218	13123	0.016612055170311668	140	5484	0.025528811086797956
blowed_VERB	1799	484	72117	0.006711316333180803	425	29642	0.014337763983536873
blowed_VERB	1829	1580	183344	0.008617680425866131	1180	72912	0.016183892912003513
blowed_VERB	1859	3180	275840	0.011528422273781903	2366	112925	0.020951959264998894
blowed_VERB	1889	7600	587597	0.01293403472107584	5463	232002	0.023547210799906897
blowed_VERB	1919	6267	595078	0.010531392523333075	4325	217273	0.019905832754184827
blowed_VERB	1949	8482	1029352	0.008240135541583442	5498	416607	0.013197089823262691
blowed_VERB	1979	23988	3473263	0.006906473825909526	16256	1337147	0.01215722729064194
burned_VERB	1769	10681	30035	0.3556184451473281	2870	7716	0.37195438050803525
burned_VERB	1799	59276	169203	0.35032475783526296	17090	40582	0.421122665221034
burned_VERB	1829	211373	429732	0.4918716781622034	50006	100546	0.49734449903526745
burned_VERB	1859	397613	658384	0.6039226348149408	82410	151382	0.5443844050151273
burned_VERB	1889	857991	1196439	0.7171205552476976	179435	284910	0.6297953739777473
burned_VERB	1919	733696	951598	0.771014651144706	160707	238753	0.6731098666823034
burned_VERB	1949	1260252	1652154	0.7627932989297608	321379	468240	0.6863552878865539
burned_VERB	1979	3999440	4852924	0.8241299472235708	1020497	1379782	0.7396074162440154
catched_VERB	1769	1588	20820	0.07627281460134486	990	6202	0.15962592712028378
catched_VERB	1799	4036	124298	0.03247035350528568	2603	29908	0.08703356961348134
catched_VERB	1829	4053	359493	0.011274211180746218	2786	69161	0.040282818351383004
catched_VERB	1859	3710	710652	0.005220558022773453	2645	113965	0.02320887991927346
catched_VERB	1889	6355	1588917	0.0039995795878576415	4068	232047	0.01753093123375868
catched_VERB	1919	3854	1556234	0.0024764913245694416	2421	218038	0.011103569102633486
catched_VERB	1949	5918	3169316	0.0018672798799488596	3871	515278	0.007512449590318236
catched_VERB	1979	14412	12487808	0.0011540856489785877	9011	1677404	0.0053719914820758745
cleaved_VERB	1769	163	419	0.38902147971360385	139	351	0.396011396011396
cleaved_VERB	1799	1216	3025	0.40198347107438015	871	2153	0.40455178820250814
cleaved_VERB	1829	2790	7510	0.3715046604527297	2309	6261	0.3687909279667785
cleaved_VERB	1859	3177	10012	0.3173192169396724	2576	8284	0.31096088845968134
cleaved_VERB	1889	4451	14726	0.302254515822355	3433	12023	0.285536055892872
cleaved_VERB	1919	4277	10524	0.4064044089699734	3057	8361	0.36562612127735916
cleaved_VERB	1949	33171	40867	0.8116817970489637	13833	20461	0.6760666634084356
cleaved_VERB	1979	197181	219381	0.8988061864974634	64659	81863	0.7898440076713533
climbed_VERB	1769	1477	1489	0.9919408999328408	959	969	0.9896800825593395
climbed_VERB	1799	9922	10043	0.9879518072289156	5993	6079	0.9858529363382135
climbed_VERB	1829	37256	38150	0.9765661861074705	19036	19740	0.9643363728470111
climbed_VERB	1859	97606	99226	0.9836736339265918	40968	42286	0.9688312916804617
climbed_VERB	1889	302948	305525	0.991565338352017	101970	103901	0.9814150008180864
climbed_VERB	1919	391078	392510	0.9963516853073807	102689	103721	0.9900502309079164
climbed_VERB	1949	772542	774459	0.9975247237103578	216523	217775	0.9942509470784067
climbed_VERB	1979	3104123	3108054	0.9987352214601162	747037	749429	0.996808236670852
creeped_VERB	1769	193	4198	0.04597427346355407	115	2609	0.04407819087773093
creeped_VERB	1799	374	24635	0.015181652120966106	258	14346	0.017984107068172314
creeped_VERB	1829	376	73765	0.005097268352199553	286	35935	0.007958814526227912
creeped_VERB	1859	205	134114	0.001528550337772343	170	57874	0.0029374157652832015
creeped_VERB	1889	238	274909	0.0008657410270307629	217	108008	0.0020091104362639804
creeped_VERB	1919	204	234641	0.0008694132738950141	173	92839	0.0018634410107821067
creeped_VERB	1949	655	311694	0.002101419982418654	595	154695	0.003846278160250816
creeped_VERB	1979	8559	1117066	0.007662036083812416	7345	477862	0.015370546308348436
dared_VERB	1769	11106	20617	0.5386816704661201	4059	7021	0.5781227745335422
dared_VERB	1799	68284	117263	0.5823149672104585	20833	34242	0.6084048828923544
dared_VERB	1829	196361	258164	0.760605661517485	52199	71562	0.7294234370196473
dared_VERB	1859	291692	338508	0.8616989849575195	78806	96130	0.8197857068553002
dared_VERB	1889	525085	582353	0.9016610200342404	147876	169088	0.8745505299015897
dared_VERB	1919	421994	450144	0.9374644558185825	127510	138394	0.92135497203636
dared_VERB	1949	663576	702163	0.9450455236177355	237991	255014	0.9332468021363532
dared_VERB	1979	1717123	1792108	0.9581582136790863	636496	667801	0.9531222624704067
delved_VERB	1799	329	334	0.9850299401197605	271	276	0.9818840579710145
delved_VERB	1829	1156	1163	0.9939810834049871	1019	1025	0.9941463414634146
delved_VERB	1859	2691	2705	0.9948243992606285	2424	2434	0.9958915365653246
delved_VERB	1889	8033	8048	0.9981361829025845	7352	7363	0.9985060437321743
delved_VERB	1919	12102	12122	0.9983501072430292	10652	10670	0.9983130271790066
